supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
tuskys,1,1,92,500,408,cash,no,no,yes,no,no,no,no,24/05/2017,no,13:44:00,afternoon,chain,cbd,mid,Tuesday,weekday,no,24,5,2017,13,A,1,1,1
ukwala,7,4,434,1000,566,cash,yes,yes,yes,yes,no,no,no,25/05/2017,no,19:44:00,night,chain,cbd,mid,Tuesday,weekday,no,25,5,2017,19,B,1,1,1
nakumatt,4,4,1359,1359,0,mpesa,yes,yes,yes,no,yes,no,no,07/04/2017,no,20:16:00,night,chain,cbd,mid,Friday,weekday,yes,7,4,2017,20,B,1,1,1
chandarana,2,2,166,200,34,cash,yes,no,no,yes,no,no,no,17/05/2017,yes,14:48:00,afternoon,chain,adlife,high,Wednesday,weekday,no,17,5,2017,14,A,1,1,1
ukwala,1,1,65,100,35,cash,no,no,yes,no,no,no,no,23/05/2017,no,14:22:00,afternoon,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,14,A,1,1,1
neema,8,1,1105,2000,895,cash,no,no,no,yes,no,no,no,10/06/2017,no,11:32:00,morning,small,kangundo road,mid,saturday,weekend,no,10,6,2017,11,B,1,1,1
nakumatt,1,1,20,50,30,cash,no,yes,no,no,no,no,no,15/05/2017,yes,14:30:00,afternoon,chain,junction,mid,Monday,weekday,no,15,5,2017,14,A,1,1,1
nakumatt,3,3,388,388,0,card,no,yes,no,no,yes,yes,no,29/05/2017,yes,11:30:00,morning,chain,prestige,high,Monday,weekday,no,29,5,2017,11,B,1,1,1
nakumatt,1,1,60,200,140,cash,yes,no,no,no,no,no,no,24/05/2017,yes,18:21:00,morning,chain,junction,mid,Wednesday,weekday,no,24,5,2017,18,A,1,1,1
tuskys,2,2,129,1000,871,cash,yes,no,yes,no,no,no,no,09/06/2017,no,21:58:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,21,A,1,1,1
tuskys,1,1,99,99,0,cash,no,no,yes,no,no,no,no,09/06/2017,no,20:10:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,20,A,1,1,1
eastmatt,4,3,208,250,42,cash,yes,yes,yes,no,no,no,no,09/06/2017,no,19:25:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,19,B,1,1,1
ukwala,1,1,105,150,45,cash,no,no,no,yes,no,no,no,09/06/2017,no,17:51:00,evening,chain,cbd,mid,Friday,weekday,no,9,6,2017,17,A,1,1,1
ukwala,1,1,90,100,10,cash,yes,no,no,no,no,no,no,09/06/2017,no,16:58:00,evening,chain,cbd,mid,Friday,weekday,no,9,6,2017,16,A,1,1,1
tuskys,1,1,35,40,5,cash,no,no,yes,no,no,no,no,09/06/2017,no,20:53:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,20,A,1,1,1
